
Front,Back
<div style='text-align:center; line-height:1.1; margin:0;'>  <div style='color:#7C3AED; font-size:40px; font-weight:800; line-height:1.1; margin:0;'>    يلا باي  </div>  <div style='color:#14B8A6; font-size:30px; font-weight:700; line-height:1.1; margin:0;'>    (yalla bye)  </div></div>,"<div style='line-height:1.1; margin:0;'>  <div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center; line-height:1.1; margin:0;'>Bye! / See you!</div>  <div style='font-size:28px; font-weight:900; text-align:center; line-height:1.1; margin:0;'>Example:</div>  <div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center; line-height:1.1; margin:0;'>يلا باي، بشوفك قريبا.</div>  <div style='color:#14B8A6; font-size:28px; font-weight:650; text-align:center; line-height:1.1; margin:0;'>yalla bye, bshoofak ariiban.</div>  <div style='color:#6B7280; font-size:26px; text-align:center; line-height:1.1; margin:0;'>Bye, see you soon.</div>  <div style='color:#F59E0B; font-size:22px; text-align:center; line-height:1.1; margin:0;'>Combine “yalla” with the borrowed “bye” to end a conversation quickly.</div></div>"
<div style='text-align:center; line-height:1.1; margin:0;'>  <div style='color:#7C3AED; font-size:40px; font-weight:800; line-height:1.1; margin:0;'>    بشوفك بكرا  </div>  <div style='color:#14B8A6; font-size:30px; font-weight:700; line-height:1.1; margin:0;'>    (bshoofak / bshoofek bukra)  </div></div>,"<div style='line-height:1.1; margin:0;'>  <div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center; line-height:1.1; margin:0;'>See you tomorrow!</div>  <div style='font-size:28px; font-weight:900; text-align:center; line-height:1.1; margin:0;'>Example:</div>  <div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center; line-height:1.1; margin:0;'>مع السلامة، بشوفك بكرا!</div>  <div style='color:#14B8A6; font-size:28px; font-weight:650; text-align:center; line-height:1.1; margin:0;'>maʿ as‑salaameh, bshoofak bukra!</div>  <div style='color:#6B7280; font-size:26px; text-align:center; line-height:1.1; margin:0;'>Goodbye, see you tomorrow!</div>  <div style='color:#F59E0B; font-size:22px; text-align:center; line-height:1.1; margin:0;'>“Bshoofak/ek” means “I see you” – add “bukra” (tomorrow) to specify the time.</div></div>"
<div style='text-align:center; line-height:1.1; margin:0;'>  <div style='color:#7C3AED; font-size:40px; font-weight:800; line-height:1.1; margin:0;'>    بتحكي عربي؟  </div>  <div style='color:#14B8A6; font-size:30px; font-weight:700; line-height:1.1; margin:0;'>    (btiHki ʿarabi?)  </div></div>,<div style='line-height:1.1; margin:0;'>  <div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center; line-height:1.1; margin:0;'>Do you speak Arabic?</div>  <div style='font-size:28px; font-weight:900; text-align:center; line-height:1.1; margin:0;'>Example:</div>  <div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center; line-height:1.1; margin:0;'>بتحكي عربي؟</div>  <div style='color:#14B8A6; font-size:28px; font-weight:650; text-align:center; line-height:1.1; margin:0;'>btiHki ʿarabi?</div>  <div style='color:#6B7280; font-size:26px; text-align:center; line-height:1.1; margin:0;'>Do you speak Arabic?</div>  <div style='color:#F59E0B; font-size:22px; text-align:center; line-height:1.1; margin:0;'>A must‑ask question for travelers; “ʿarabi” means Arabic.</div></div>
"<div style='text-align:center; line-height:1.1; margin:0;'>  <div style='color:#7C3AED; font-size:40px; font-weight:800; line-height:1.1; margin:0;'>    أيوه، بحكي عربي  </div>  <div style='color:#14B8A6; font-size:30px; font-weight:700; line-height:1.1; margin:0;'>    (aywa, baHki ʿarabi)  </div></div>","<div style='line-height:1.1; margin:0;'>  <div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center; line-height:1.1; margin:0;'>Yes, I speak Arabic</div>  <div style='font-size:28px; font-weight:900; text-align:center; line-height:1.1; margin:0;'>Example:</div>  <div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center; line-height:1.1; margin:0;'>أيوه، بحكي عربي شوي.</div>  <div style='color:#14B8A6; font-size:28px; font-weight:650; text-align:center; line-height:1.1; margin:0;'>aywa, baHki ʿarabi shway.</div>  <div style='color:#6B7280; font-size:26px; text-align:center; line-height:1.1; margin:0;'>Yes, I speak a little Arabic.</div>  <div style='color:#F59E0B; font-size:22px; text-align:center; line-height:1.1; margin:0;'>Answer positively with “aywa” and “baHki ʿarabi” to affirm your language skills.</div></div>"
"<div style='text-align:center; line-height:1.1; margin:0;'>  <div style='color:#7C3AED; font-size:40px; font-weight:800; line-height:1.1; margin:0;'>    لأ، ما بحكي عربي  </div>  <div style='color:#14B8A6; font-size:30px; font-weight:700; line-height:1.1; margin:0;'>    (la, ma baHki ʿarabi)  </div></div>","<div style='line-height:1.1; margin:0;'>  <div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center; line-height:1.1; margin:0;'>No, I don’t speak Arabic</div>  <div style='font-size:28px; font-weight:900; text-align:center; line-height:1.1; margin:0;'>Example:</div>  <div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center; line-height:1.1; margin:0;'>لأ، ما بحكي عربي.</div>  <div style='color:#14B8A6; font-size:28px; font-weight:650; text-align:center; line-height:1.1; margin:0;'>la, ma baHki ʿarabi.</div>  <div style='color:#6B7280; font-size:26px; text-align:center; line-height:1.1; margin:0;'>No, I don’t speak Arabic.</div>  <div style='color:#F59E0B; font-size:22px; text-align:center; line-height:1.1; margin:0;'>Use “ma” (not) before the verb to form a negative statement.</div></div>"
<div style='text-align:center; line-height:1.1; margin:0;'>  <div style='color:#7C3AED; font-size:40px; font-weight:800; line-height:1.1; margin:0;'>    فينك تساعدني؟  </div>  <div style='color:#14B8A6; font-size:30px; font-weight:700; line-height:1.1; margin:0;'>    (feenak / feenik tisaʿdini?)  </div></div>,<div style='line-height:1.1; margin:0;'>  <div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center; line-height:1.1; margin:0;'>Can you help me?</div>  <div style='font-size:28px; font-weight:900; text-align:center; line-height:1.1; margin:0;'>Example:</div>  <div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center; line-height:1.1; margin:0;'>فيني أطلب مساعدتك؟</div>  <div style='color:#14B8A6; font-size:28px; font-weight:650; text-align:center; line-height:1.1; margin:0;'>feeni aTlub musaaʿadtak?</div>  <div style='color:#6B7280; font-size:26px; text-align:center; line-height:1.1; margin:0;'>Can I ask for your help?</div>  <div style='color:#F59E0B; font-size:22px; text-align:center; line-height:1.1; margin:0;'>“Feenak tisaʿdini?” literally means “are you able to help me?” – a polite request.</div></div>
<div style='text-align:center; line-height:1.1; margin:0;'>  <div style='color:#7C3AED; font-size:40px; font-weight:800; line-height:1.1; margin:0;'>    وين بقدر لاقي…؟  </div>  <div style='color:#14B8A6; font-size:30px; font-weight:700; line-height:1.1; margin:0;'>    (weyn biqdar laaqi …?)  </div></div>,<div style='line-height:1.1; margin:0;'>  <div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center; line-height:1.1; margin:0;'>Where can I find …?</div>  <div style='font-size:28px; font-weight:900; text-align:center; line-height:1.1; margin:0;'>Example:</div>  <div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center; line-height:1.1; margin:0;'>وين بقدر لاقي تاكسي؟</div>  <div style='color:#14B8A6; font-size:28px; font-weight:650; text-align:center; line-height:1.1; margin:0;'>weyn biqdar laaqi taxi?</div>  <div style='color:#6B7280; font-size:26px; text-align:center; line-height:1.1; margin:0;'>Where can I find a taxi?</div>  <div style='color:#F59E0B; font-size:22px; text-align:center; line-height:1.1; margin:0;'>“Laqi” means “to find”; add what you’re looking for after it.</div></div>
<div style='text-align:center; line-height:1.1; margin:0;'>  <div style='color:#7C3AED; font-size:40px; font-weight:800; line-height:1.1; margin:0;'>    عندك…؟  </div>  <div style='color:#14B8A6; font-size:30px; font-weight:700; line-height:1.1; margin:0;'>    (ʿandak / ʿandik …?)  </div></div>,"<div style='line-height:1.1; margin:0;'>  <div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center; line-height:1.1; margin:0;'>Do you have …?</div>  <div style='font-size:28px; font-weight:900; text-align:center; line-height:1.1; margin:0;'>Example:</div>  <div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center; line-height:1.1; margin:0;'>عندك واي فاي؟</div>  <div style='color:#14B8A6; font-size:28px; font-weight:650; text-align:center; line-height:1.1; margin:0;'>ʿandak Wi‑Fi?</div>  <div style='color:#6B7280; font-size:26px; text-align:center; line-height:1.1; margin:0;'>Do you have Wi‑Fi?</div>  <div style='color:#F59E0B; font-size:22px; text-align:center; line-height:1.1; margin:0;'>Use “ʿandak/ʿandik” to ask if someone has something – like Wi‑Fi, time, or change.</div></div>"
<div style='text-align:center; line-height:1.1; margin:0;'>  <div style='color:#7C3AED; font-size:40px; font-weight:800; line-height:1.1; margin:0;'>    بدي…  </div>  <div style='color:#14B8A6; font-size:30px; font-weight:700; line-height:1.1; margin:0;'>    (biddi …)  </div></div>,"<div style='line-height:1.1; margin:0;'>  <div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center; line-height:1.1; margin:0;'>I want …</div>  <div style='font-size:28px; font-weight:900; text-align:center; line-height:1.1; margin:0;'>Example:</div>  <div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center; line-height:1.1; margin:0;'>بدي قهوة.</div>  <div style='color:#14B8A6; font-size:28px; font-weight:650; text-align:center; line-height:1.1; margin:0;'>biddi qahwa.</div>  <div style='color:#6B7280; font-size:26px; text-align:center; line-height:1.1; margin:0;'>I want coffee.</div>  <div style='color:#F59E0B; font-size:22px; text-align:center; line-height:1.1; margin:0;'>Follow “biddi” with whatever you’d like – food, help, items, etc.</div></div>"
<div style='text-align:center; line-height:1.1; margin:0;'>  <div style='color:#7C3AED; font-size:40px; font-weight:800; line-height:1.1; margin:0;'>    بدي أشرب  </div>  <div style='color:#14B8A6; font-size:30px; font-weight:700; line-height:1.1; margin:0;'>    (biddi ishrib)  </div></div>,<div style='line-height:1.1; margin:0;'>  <div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center; line-height:1.1; margin:0;'>I want to drink</div>  <div style='font-size:28px; font-weight:900; text-align:center; line-height:1.1; margin:0;'>Example:</div>  <div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center; line-height:1.1; margin:0;'>بدي أشرب مي.</div>  <div style='color:#14B8A6; font-size:28px; font-weight:650; text-align:center; line-height:1.1; margin:0;'>biddi ishrib mayy.</div>  <div style='color:#6B7280; font-size:26px; text-align:center; line-height:1.1; margin:0;'>I want to drink water.</div>  <div style='color:#F59E0B; font-size:22px; text-align:center; line-height:1.1; margin:0;'>“Ishrib” means “to drink”; combine with “biddi” to express thirst or desire for a beverage.</div></div>
<div style='text-align:center; line-height:1.1; margin:0;'>  <div style='color:#7C3AED; font-size:40px; font-weight:800; line-height:1.1; margin:0;'>    بدي أطلب  </div>  <div style='color:#14B8A6; font-size:30px; font-weight:700; line-height:1.1; margin:0;'>    (biddi uTlob)  </div></div>,<div style='line-height:1.1; margin:0;'>  <div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center; line-height:1.1; margin:0;'>I want to order</div>  <div style='font-size:28px; font-weight:900; text-align:center; line-height:1.1; margin:0;'>Example:</div>  <div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center; line-height:1.1; margin:0;'>بدي أطلب بيتزا.</div>  <div style='color:#14B8A6; font-size:28px; font-weight:650; text-align:center; line-height:1.1; margin:0;'>biddi uTlob pizza.</div>  <div style='color:#6B7280; font-size:26px; text-align:center; line-height:1.1; margin:0;'>I want to order pizza.</div>  <div style='color:#F59E0B; font-size:22px; text-align:center; line-height:1.1; margin:0;'>“Utlob” means “to request/order” – use it in restaurants or on the phone.</div></div>
<div style='text-align:center; line-height:1.1; margin:0;'>  <div style='color:#7C3AED; font-size:40px; font-weight:800; line-height:1.1; margin:0;'>    بدي فنجان قهوة  </div>  <div style='color:#14B8A6; font-size:30px; font-weight:700; line-height:1.1; margin:0;'>    (biddi finjaan qahwa)  </div></div>,<div style='line-height:1.1; margin:0;'>  <div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center; line-height:1.1; margin:0;'>I want a cup of coffee</div>  <div style='font-size:28px; font-weight:900; text-align:center; line-height:1.1; margin:0;'>Example:</div>  <div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center; line-height:1.1; margin:0;'>بدي فنجان قهوة مع حليب.</div>  <div style='color:#14B8A6; font-size:28px; font-weight:650; text-align:center; line-height:1.1; margin:0;'>biddi finjaan qahwa maʿ Haleeb.</div>  <div style='color:#6B7280; font-size:26px; text-align:center; line-height:1.1; margin:0;'>I want a cup of coffee with milk.</div>  <div style='color:#F59E0B; font-size:22px; text-align:center; line-height:1.1; margin:0;'>“Finjaan” is “cup”; combine it with your favorite drink for a polite order.</div></div>
"<div style='text-align:center; line-height:1.1; margin:0;'>  <div style='color:#7C3AED; font-size:40px; font-weight:800; line-height:1.1; margin:0;'>    الحساب، لو سمحت  </div>  <div style='color:#14B8A6; font-size:30px; font-weight:700; line-height:1.1; margin:0;'>    (el‑7isaab, law samaHt)  </div></div>","<div style='line-height:1.1; margin:0;'>  <div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center; line-height:1.1; margin:0;'>The bill, please</div>  <div style='font-size:28px; font-weight:900; text-align:center; line-height:1.1; margin:0;'>Example:</div>  <div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center; line-height:1.1; margin:0;'>النادل، الحساب لو سمحت.</div>  <div style='color:#14B8A6; font-size:28px; font-weight:650; text-align:center; line-height:1.1; margin:0;'>an‑naadel, el‑7isaab law samaHt.</div>  <div style='color:#6B7280; font-size:26px; text-align:center; line-height:1.1; margin:0;'>Waiter, the bill please.</div>  <div style='color:#F59E0B; font-size:22px; text-align:center; line-height:1.1; margin:0;'>Use “el‑7isaab” (the account) when you’re ready to pay.</div></div>"
<div style='text-align:center; line-height:1.1; margin:0;'>  <div style='color:#7C3AED; font-size:40px; font-weight:800; line-height:1.1; margin:0;'>    شو بتنصحني؟  </div>  <div style='color:#14B8A6; font-size:30px; font-weight:700; line-height:1.1; margin:0;'>    (shoo bitansahni / bitansahiini?)  </div></div>,<div style='line-height:1.1; margin:0;'>  <div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center; line-height:1.1; margin:0;'>What do you recommend?</div>  <div style='font-size:28px; font-weight:900; text-align:center; line-height:1.1; margin:0;'>Example:</div>  <div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center; line-height:1.1; margin:0;'>شو بتنصحني أطلب؟</div>  <div style='color:#14B8A6; font-size:28px; font-weight:650; text-align:center; line-height:1.1; margin:0;'>shoo bitansahni aTlob?</div>  <div style='color:#6B7280; font-size:26px; text-align:center; line-height:1.1; margin:0;'>What do you recommend I order?</div>  <div style='color:#F59E0B; font-size:22px; text-align:center; line-height:1.1; margin:0;'>Use this phrase to ask for suggestions in restaurants or any situation.</div></div>
<div style='text-align:center; line-height:1.1; margin:0;'>  <div style='color:#7C3AED; font-size:40px; font-weight:800; line-height:1.1; margin:0;'>    يلا ناكل  </div>  <div style='color:#14B8A6; font-size:30px; font-weight:700; line-height:1.1; margin:0;'>    (yalla naakul)  </div></div>,<div style='line-height:1.1; margin:0;'>  <div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center; line-height:1.1; margin:0;'>Let’s eat!</div>  <div style='font-size:28px; font-weight:900; text-align:center; line-height:1.1; margin:0;'>Example:</div>  <div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center; line-height:1.1; margin:0;'>جوعانين؟ يلا ناكل!</div>  <div style='color:#14B8A6; font-size:28px; font-weight:650; text-align:center; line-height:1.1; margin:0;'>juʿaaneen? yalla naakul!</div>  <div style='color:#6B7280; font-size:26px; text-align:center; line-height:1.1; margin:0;'>Hungry? Let’s eat!</div>  <div style='color:#F59E0B; font-size:22px; text-align:center; line-height:1.1; margin:0;'>Add “naakul” (we eat) to “yalla” for a playful invitation to the table.</div></div>
<div style='text-align:center; line-height:1.1; margin:0;'>  <div style='color:#7C3AED; font-size:40px; font-weight:800; line-height:1.1; margin:0;'>    كيف بقرأ هذا؟  </div>  <div style='color:#14B8A6; font-size:30px; font-weight:700; line-height:1.1; margin:0;'>    (keef btaqra haada?)  </div></div>,<div style='line-height:1.1; margin:0;'>  <div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center; line-height:1.1; margin:0;'>How do you read/pronounce this?</div>  <div style='font-size:28px; font-weight:900; text-align:center; line-height:1.1; margin:0;'>Example:</div>  <div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center; line-height:1.1; margin:0;'>كيف بقرأ هذا الكلمة؟</div>  <div style='color:#14B8A6; font-size:28px; font-weight:650; text-align:center; line-height:1.1; margin:0;'>keef btaqra haadi el‑kalmeh?</div>  <div style='color:#6B7280; font-size:26px; text-align:center; line-height:1.1; margin:0;'>How do you pronounce this word?</div>  <div style='color:#F59E0B; font-size:22px; text-align:center; line-height:1.1; margin:0;'>Use “keef btaqra” (how do you read) to ask for pronunciation help.</div></div>
<div style='text-align:center; line-height:1.1; margin:0;'>  <div style='color:#7C3AED; font-size:40px; font-weight:800; line-height:1.1; margin:0;'>    بتعرف وين لاقي هذا؟  </div>  <div style='color:#14B8A6; font-size:30px; font-weight:700; line-height:1.1; margin:0;'>    (btaʿrif weyn laaqi haada?)  </div></div>,<div style='line-height:1.1; margin:0;'>  <div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center; line-height:1.1; margin:0;'>Do you know where I can find this?</div>  <div style='font-size:28px; font-weight:900; text-align:center; line-height:1.1; margin:0;'>Example:</div>  <div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center; line-height:1.1; margin:0;'>بتعرف وين لاقي هذا الكتاب؟</div>  <div style='color:#14B8A6; font-size:28px; font-weight:650; text-align:center; line-height:1.1; margin:0;'>btaʿrif weyn laaqi haada el‑ketaab?</div>  <div style='color:#6B7280; font-size:26px; text-align:center; line-height:1.1; margin:0;'>Do you know where I can find this book?</div>  <div style='color:#F59E0B; font-size:22px; text-align:center; line-height:1.1; margin:0;'>Ask for directions to find specific items or locations.</div></div>
<div style='text-align:center; line-height:1.1; margin:0;'>  <div style='color:#7C3AED; font-size:40px; font-weight:800; line-height:1.1; margin:0;'>    نزلني هون  </div>  <div style='color:#14B8A6; font-size:30px; font-weight:700; line-height:1.1; margin:0;'>    (nazzilni hoon)  </div></div>,"<div style='line-height:1.1; margin:0;'>  <div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center; line-height:1.1; margin:0;'>Let me off here</div>  <div style='font-size:28px; font-weight:900; text-align:center; line-height:1.1; margin:0;'>Example:</div>  <div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center; line-height:1.1; margin:0;'>نزلني هون لو سمحت.</div>  <div style='color:#14B8A6; font-size:28px; font-weight:650; text-align:center; line-height:1.1; margin:0;'>nazzilni hoon, law samaHt.</div>  <div style='color:#6B7280; font-size:26px; text-align:center; line-height:1.1; margin:0;'>Let me off here, please.</div>  <div style='color:#F59E0B; font-size:22px; text-align:center; line-height:1.1; margin:0;'>Use in taxis or buses when you want to get out at a specific spot.</div></div>"
<div style='text-align:center; line-height:1.1; margin:0;'>  <div style='color:#7C3AED; font-size:40px; font-weight:800; line-height:1.1; margin:0;'>    كيف بقدر أساعدك؟  </div>  <div style='color:#14B8A6; font-size:30px; font-weight:700; line-height:1.1; margin:0;'>    (keef baqdar saaʿdak?)  </div></div>,<div style='line-height:1.1; margin:0;'>  <div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center; line-height:1.1; margin:0;'>How can I help you?</div>  <div style='font-size:28px; font-weight:900; text-align:center; line-height:1.1; margin:0;'>Example:</div>  <div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center; line-height:1.1; margin:0;'>كيف بقدر أساعدك اليوم؟</div>  <div style='color:#14B8A6; font-size:28px; font-weight:650; text-align:center; line-height:1.1; margin:0;'>keef baqdar saaʿdak el‑yom?</div>  <div style='color:#6B7280; font-size:26px; text-align:center; line-height:1.1; margin:0;'>How can I help you today?</div>  <div style='color:#F59E0B; font-size:22px; text-align:center; line-height:1.1; margin:0;'>Use this phrase to offer assistance; it literally means “how can I be able to help you?”</div></div>
<div style='text-align:center; line-height:1.1; margin:0;'>  <div style='color:#7C3AED; font-size:40px; font-weight:800; line-height:1.1; margin:0;'>    شو اسم هذا بالعربي؟  </div>  <div style='color:#14B8A6; font-size:30px; font-weight:700; line-height:1.1; margin:0;'>    (shoo haada ismu bil‑ʿarabi?)  </div></div>,<div style='line-height:1.1; margin:0;'>  <div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center; line-height:1.1; margin:0;'>What is this called in Arabic?</div>  <div style='font-size:28px; font-weight:900; text-align:center; line-height:1.1; margin:0;'>Example:</div>  <div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center; line-height:1.1; margin:0;'>شو اسم هذا بالعربي؟</div>  <div style='color:#14B8A6; font-size:28px; font-weight:650; text-align:center; line-height:1.1; margin:0;'>shoo haada ismu bil‑ʿarabi?</div>  <div style='color:#6B7280; font-size:26px; text-align:center; line-height:1.1; margin:0;'>What is this called in Arabic?</div>  <div style='color:#F59E0B; font-size:22px; text-align:center; line-height:1.1; margin:0;'>A useful question to learn vocabulary on the go – ask whenever you’re curious.</div></div>
<div style='text-align:center; line-height:1.1; margin:0;'>  <div style='color:#7C3AED; font-size:40px; font-weight:800; line-height:1.1; margin:0;'>    ما بفهم  </div>  <div style='color:#14B8A6; font-size:30px; font-weight:700; line-height:1.1; margin:0;'>    (ma bifham)  </div></div>,<div style='line-height:1.1; margin:0;'>  <div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center; line-height:1.1; margin:0;'>I don’t understand</div>  <div style='font-size:28px; font-weight:900; text-align:center; line-height:1.1; margin:0;'>Example:</div>  <div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center; line-height:1.1; margin:0;'>ما بفهم عليك.</div>  <div style='color:#14B8A6; font-size:28px; font-weight:650; text-align:center; line-height:1.1; margin:0;'>ma bifham ʿaleek.</div>  <div style='color:#6B7280; font-size:26px; text-align:center; line-height:1.1; margin:0;'>I don’t understand you.</div>  <div style='color:#F59E0B; font-size:22px; text-align:center; line-height:1.1; margin:0;'>Use this phrase when you’re lost in conversation – don’t be shy to say it!</div></div>
<div style='text-align:center; line-height:1.1; margin:0;'>  <div style='color:#7C3AED; font-size:40px; font-weight:800; line-height:1.1; margin:0;'>    أنا مبسوط إنك هون  </div>  <div style='color:#14B8A6; font-size:30px; font-weight:700; line-height:1.1; margin:0;'>    (ana mabsuut innak hoon)  </div></div>,<div style='line-height:1.1; margin:0;'>  <div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center; line-height:1.1; margin:0;'>I’m happy that you’re here</div>  <div style='font-size:28px; font-weight:900; text-align:center; line-height:1.1; margin:0;'>Example:</div>  <div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center; line-height:1.1; margin:0;'>أنا مبسوط إنك هون اليوم.</div>  <div style='color:#14B8A6; font-size:28px; font-weight:650; text-align:center; line-height:1.1; margin:0;'>ana mabsuut innak hoon elyom.</div>  <div style='color:#6B7280; font-size:26px; text-align:center; line-height:1.1; margin:0;'>I’m happy that you’re here today.</div>  <div style='color:#F59E0B; font-size:22px; text-align:center; line-height:1.1; margin:0;'>“Mabsuut” means happy – share this phrase to make someone feel welcome.</div></div>
<div style='text-align:center; line-height:1.1; margin:0;'>  <div style='color:#7C3AED; font-size:40px; font-weight:800; line-height:1.1; margin:0;'>    مين هي البنت؟  </div>  <div style='color:#14B8A6; font-size:30px; font-weight:700; line-height:1.1; margin:0;'>    (meen hiyyeh el‑bint?)  </div></div>,<div style='line-height:1.1; margin:0;'>  <div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center; line-height:1.1; margin:0;'>Who is this girl?</div>  <div style='font-size:28px; font-weight:900; text-align:center; line-height:1.1; margin:0;'>Example:</div>  <div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center; line-height:1.1; margin:0;'>مين هي البنت اللي معك؟</div>  <div style='color:#14B8A6; font-size:28px; font-weight:650; text-align:center; line-height:1.1; margin:0;'>meen hiyyeh el‑bint illi maʿak?</div>  <div style='color:#6B7280; font-size:26px; text-align:center; line-height:1.1; margin:0;'>Who is the girl who is with you?</div>  <div style='color:#F59E0B; font-size:22px; text-align:center; line-height:1.1; margin:0;'>“Bint” means girl/daughter – use this question to ask who she is.</div></div>
